"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"136","343",31160,38840,-1.19877684926913,-0.143327687740507,"aug",0,1,70.9621915460331,31230.962191546,7609.03780845397
"137","344",31480,39050,-0.910454571453086,0.215696966090075,"aug",0,1,71.2294795852697,31551.2294795853,7498.77052041473
"138","353",32940,40000,0.405015821082609,1.83985611437133,"aug",0,1,66.3356570455504,33006.3356570456,6993.66434295445
"139","354",31930,39070,-0.505001368274276,0.249889790264422,"aug",0,1,71.3996941200835,32001.3996941201,7068.60030587992
"140","355",32680,39200,0.170753970357075,0.472143147397651,"aug",0,1,69.8692084912101,32749.8692084912,6450.13079150879
"141","356",31560,39070,-0.838374001999077,0.249889790264422,"aug",0,1,71.245247954124,31631.2452479541,7438.75475204588
"142","365",31800,38710,-0.622132293637042,-0.365581044873735,"aug",0,1,71.1876246757032,31871.1876246757,6838.8123753243
"143","366",31610,38600,-0.793323646090319,-0.553641577832616,"aug",0,1,70.9366496777752,31680.9366496778,6919.06335032222
"144","367",31560,39000,-0.838374001999077,0.130214905654224,"aug",0,1,71.2276182949204,31631.2276182949,7368.77238170508
"145","368",32010,39450,-0.432920798820267,0.899553449576927,"aug",0,1,70.0716994489751,32080.071699449,7369.92830055103
"146","377",31890,38840,-0.54104165300128,-0.143327687740507,"aug",0,1,71.2267313887819,31961.2267313888,6878.77326861122
"147","378",31720,39240,-0.694212863091055,0.540528795746334,"aug",0,1,71.423838198679,31791.4238381987,7448.57616180132
"148","380",31340,38970,-1.03659556799761,0.0789256693927093,"aug",0,1,71.2097077681209,31411.2097077681,7558.79029223188
"149","389",31980,38870,-0.459951012365518,-0.0920384514790038,"aug",0,1,71.2429230928701,32051.2429230929,6818.75707690713
"150","390",31780,38960,-0.640152436000545,0.0618292573055416,"aug",0,1,71.2419096047017,31851.2419096047,7108.7580903953
"151","391",31280,38660,-1.09065599508811,-0.451063105309598,"aug",0,1,70.8938446520411,31350.893844652,7309.10615534796
"152","392",31630,38850,-0.775303503726817,-0.126231275653339,"aug",0,1,71.2133839474415,31701.2133839474,7148.78661605256
"153","401",31620,38920,-0.784313574908567,-0.00655639104314118,"aug",0,1,71.2223719436267,31691.2223719436,7228.77762805637
"154","402",31560,38690,-0.838374001999077,-0.399773869048083,"aug",0,1,71.0057531522074,31631.0057531522,7058.99424684779
"155","403",31350,38150,-1.02758549681585,-1.32298012175532,"aug",0,1,65.8578775513571,31415.8578775514,6734.14212244864
"156","404",32000,38990,-0.441930870002016,0.113118493567057,"aug",0,1,71.3583634290438,32071.358363429,6918.64163657096
"157","41",32360,39170,-0.117568307458968,0.420853911136136,"aug",0,1,70.9915010955102,32430.9915010955,6739.00849890449
"158","413",31330,38780,-1.04560563917936,-0.245906160263537,"aug",0,1,70.9832479770224,31400.983247977,7379.01675202298
"159","414",30800,38560,-1.52313941181218,-0.622027226181299,"aug",0,1,66.7759932544059,30866.7759932544,7693.22400674559
"160","415",30680,38510,-1.63126026599319,-0.707509286617161,"aug",0,1,65.9739059249921,30745.973905925,7764.02609407501
"161","416",31550,38740,-0.847384073180826,-0.31429180861222,"aug",0,1,71.0804289303075,31621.0804289303,7118.91957106969
"162","42",36900,40000,3.97300400905614,1.83985611437133,"aug",0,1,56.0267252429358,36956.0267252429,3043.97327475707
"163","43",32330,38500,-0.144598521004223,-0.724605698704329,"aug",0,1,71.2058727119528,32401.205872712,6098.79412728805
"164","438",32130,38900,-0.324799944639246,-0.0407492152174887,"aug",0,1,71.3244686347959,32201.3244686348,6698.6755313652
"165","44",32060,38160,-0.387870442911506,-1.30588370966815,"aug",0,1,70.5172040643318,32130.5172040643,6029.48279593567
"166","440",32000,39040,-0.441930870002016,0.198600554002907,"aug",0,1,71.4011975341916,32071.4011975342,6968.59880246581
"167","449",31460,38910,-0.928474713816588,-0.023652803130321,"aug",0,1,71.2083443309652,31531.208344331,7378.79165566904
"168","450",31340,38080,-1.03659556799761,-1.44265500636552,"aug",0,1,65.5541902100288,31405.55419021,6674.44580978997
"169","451",31790,38150,-0.631142364818795,-1.32298012175532,"aug",0,1,67.8049441624888,31857.8049441625,6292.19505583751
"170","452",32740,38850,0.224814397447586,-0.126231275653339,"aug",0,1,71.409398884137,32811.4093988841,6038.59060111586
"171","461",30560,37840,-1.73938112017421,-1.85296889645761,"aug",0,1,60.0076410162144,30620.0076410162,7219.99235898379
"172","462",31300,38240,-1.07263585272461,-1.16911241297077,"aug",0,1,66.0272978044994,31366.0272978045,6873.9727021955
"173","463",32050,38700,-0.396880514093262,-0.382677456960903,"aug",0,1,71.2203145482757,32121.2203145483,6578.77968545173
"174","464",31980,38830,-0.459951012365518,-0.160424099827687,"aug",0,1,71.2315053599319,32051.2315053599,6778.76849464007
"175","473",32440,38230,-0.0454877380049587,-1.18620882505795,"aug",0,1,70.9467582971059,32510.9467582971,5719.0532417029
"176","474",31540,38710,-0.856394144362579,-0.365581044873735,"aug",0,1,71.0221919626266,31611.0221919626,7098.97780803737
"177","475",30880,38070,-1.45105884235817,-1.45975141845268,"aug",0,1,60.6507306090159,30940.650730609,7129.34926939098
"178","476",31520,38580,-0.874414286726081,-0.587834402006963,"aug",0,1,70.9078834427502,31590.9078834427,6989.09211655725
"179","485",32140,39140,-0.315789873457497,0.36956467487462,"aug",0,1,71.4020022124935,32211.4020022125,6928.59799778751
"180","486",31640,38200,-0.766293432545064,-1.23749806131946,"aug",0,1,67.332595874665,31707.3325958747,6492.66740412534
